country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BH,BHAAL,A'ali,A'ali,15,--3-----,RL,,2609N 05031E,
BH,BHADA,Adliya,Adliya,,-----6--,RL,,2613N 05035E,
BH,BHALA,Al Hajar,Al Hajar,,-----6--,RL,,2612N 05030E,
BH,BHAHD,Al Hidd,Al Hidd,15,1-3--67-,AA,,2614N 05039E,
BH,BHAMA,Al Ma'amir,Al Ma'amir,,-----6--,RL,,2608N 05036E,
BH,BHAMH,Al Manamah,Al Manamah,13,--3--6--,RL,,2614N 05034E,
BH,BHGBQ,Al Muharraq,Al Muharraq,15,1-------,AA,,2615N 05036E,
BH,BHBAH,Bahrain International Airport,Bahrain International Airport,15,---45---,AI,,2616N 05038E,
BH,BHTOW,Hamad Town,Hamad Town,,-----6--,RL,,2606N 05030E,
BH,BHISA,ISA Air Base,ISA Air Base,14,---4----,RL,,2555N 05035E,
BH,BHJAL,Jidd 'Ali,Jidd 'Ali,,-----6--,RL,,2610N 05033E,
BH,BHJDF,Jidhafs,Jidhafs,17,--3-----,RL,,2613N 02032E,
BH,BHKBS,Khalifa Bin Salman Port,Khalifa Bin Salman Port,15,1-------,AA,,2612N 05037E,
BH,BHKFC,King Fahed Causeway,King Fahed Causeway,17,#NAME?,AA,,2611N 05019E,
BH,BHMTH,Madinat Hamad,Madinat Hamad,,-----6--,RL,,2606N 05030E,
BH,BHMIN,Mina Sulman Port,Mina Sulman Port,13,1-------,AA,,2612N 05037E,
BH,BHQAL,Qalali,Qalali,15,-----6--,RL,,2616N 05029E,
BH,BHRAJ,Ras Abu Jarjur,Ras Abu Jarjur,14,--3-----,RL,,2604N 05037E,
BH,BHRIF,Riffa,Riffa,15,--3-----,RL,,2607N 05033E,
BH,BHSAN,Sanad,Sanad,15,-----6--,RL,,2609N 05034E,
BH,BHSIT,Sitrah,Sitrah,16,1-------,AA,,2608N 05037E,
BH,BHTUB,Tubli,Tubli,,-----6--,RL,,2611N 05032E,
BH,BHUAH,Umm al Hassam,Umm al Hassam,,-----6--,RL,,2612N 05035E,
